date,ticker,close_price
2024-01-24,BBOZ,3.15
2024-01-24,BGBL,59.10
2024-01-24,ETHI,13.77
2024-01-24,GEAR,26.15
2024-01-24,GGOV,14.09
2024-01-24,CYBR,11.78
2024-01-24,NDQ,40.31
2024-01-25,A123,125.47
2024-01-25,AAA,50.25
2024-01-25,BBOZ,3.11
2024-01-25,BGBL,59.07
2024-01-25,ETHI,13.80
2024-01-25,GEAR,26.40
2024-01-25,GGOV,14.04
2024-01-25,CYBR,11.76
2024-01-25,NDQ,40.31
2024-01-29,A123,125.84
2024-01-29,AAA,50.27
2024-01-29,BBOZ,3.09
2024-01-29,BGBL,59.21
2024-01-29,ETHI,13.78
2024-01-29,GEAR,26.55
2024-01-29,GGOV,14.10
2024-01-29,CYBR,11.71
2024-01-29,NDQ,40.06
2024-01-30,A123,126.22
2024-01-30,AAA,50.27
2024-01-30,BBOZ,3.07
2024-01-30,BGBL,59.55
2024-01-30,ETHI,13.90
2024-01-30,GEAR,26.72
2024-01-30,GGOV,14.32
2024-01-30,CYBR,11.94
2024-01-30,NDQ,40.35
2024-01-31,A123,127.46
2024-01-31,AAA,50.27
2024-01-31,BBOZ,2.99
2024-01-31,BGBL,59.66
2024-01-31,ETHI,13.96
2024-01-31,GEAR,27.34
2024-01-31,GGOV,14.44
2024-01-31,CYBR,11.91
2024-01-31,NDQ,39.99
2024-02-01,A123,125.98
2024-02-01,AAA,50.09
2024-02-01,BBOZ,3.08
2024-02-01,BGBL,59.43
2024-02-01,ETHI,13.93
2024-02-01,GEAR,26.62
2024-02-01,GGOV,14.57
2024-02-01,CYBR,11.77
2024-02-01,NDQ,39.85
2024-02-02,A123,127.79
2024-02-02,AAA,50.09
2024-02-02,BBOZ,2.97
2024-02-02,BGBL,59.77
2024-02-02,ETHI,13.95
2024-02-02,GEAR,27.48
2024-02-02,GGOV,14.71
2024-02-02,CYBR,11.78
2024-02-02,NDQ,40.26
2024-02-05,A123,126.59
2024-02-05,AAA,50.11
2024-02-05,BBOZ,3.04
2024-02-05,BGBL,60.46
2024-02-05,ETHI,14.09
2024-02-05,GEAR,26.89
2024-02-05,GGOV,14.40
2024-02-05,CYBR,11.85
2024-02-05,NDQ,41.00
2024-02-06,A123,125.88
2024-02-06,AAA,50.12
2024-02-06,BBOZ,3.09
2024-02-06,BGBL,60.35
2024-02-06,ETHI,14.16
2024-02-06,GEAR,26.54
2024-02-06,GGOV,14.21
2024-02-06,CYBR,11.81
2024-02-06,NDQ,41.05
2024-02-07,A123,126.43
2024-02-07,AAA,50.12
2024-02-07,BBOZ,3.05
2024-02-07,BGBL,60.43
2024-02-07,ETHI,14.17
2024-02-07,GEAR,26.84
2024-02-07,GGOV,14.33
2024-02-07,CYBR,11.98
2024-02-07,NDQ,40.78
2024-02-08,A123,126.88
2024-02-08,AAA,50.12
2024-02-08,BBOZ,3.04
2024-02-08,BGBL,60.90
2024-02-08,ETHI,14.31
2024-02-08,GEAR,26.99
2024-02-08,GGOV,14.26
2024-02-08,CYBR,12.03
2024-02-08,NDQ,41.29
2024-02-09,A123,126.95
2024-02-09,AAA,50.14
2024-02-09,BBOZ,3.03
2024-02-09,BGBL,61.07
2024-02-09,ETHI,14.37
2024-02-09,GEAR,27.02
2024-02-09,GGOV,14.17
2024-02-09,CYBR,12.39
2024-02-09,NDQ,41.53
2024-02-12,A123,126.41
2024-02-12,AAA,50.15
2024-02-12,BBOZ,3.07
2024-02-12,BGBL,61.20
2024-02-12,ETHI,14.44
2024-02-12,GEAR,26.73
2024-02-12,GGOV,14.14
2024-02-12,CYBR,12.48
2024-02-12,NDQ,41.73
2024-02-13,A123,126.26
2024-02-13,AAA,50.16
2024-02-13,BBOZ,3.07
2024-02-13,BGBL,61.14
2024-02-13,ETHI,14.46
2024-02-13,GEAR,26.69
2024-02-13,GGOV,14.08
2024-02-13,CYBR,12.33
2024-02-13,NDQ,41.52
2024-02-14,A123,125.31
2024-02-14,AAA,50.17
2024-02-14,BBOZ,3.14
2024-02-14,BGBL,60.82
2024-02-14,ETHI,14.39
2024-02-14,GEAR,26.21
2024-02-14,GGOV,13.88
2024-02-14,CYBR,12.26
2024-02-14,NDQ,41.30
2024-02-15,A123,126.21
2024-02-15,AAA,50.17
2024-02-15,BBOZ,3.07
2024-02-15,BGBL,61.25
2024-02-15,ETHI,14.51
2024-02-15,GEAR,26.68
2024-02-15,GGOV,14.03
2024-02-15,CYBR,12.42
2024-02-15,NDQ,41.62
2024-02-16,A123,127.14
2024-02-16,AAA,50.18
2024-02-16,BBOZ,3.03
2024-02-16,BGBL,61.46
2024-02-16,ETHI,14.56
2024-02-16,GEAR,27.09
2024-02-16,GGOV,13.99
2024-02-16,CYBR,12.21
2024-02-16,NDQ,41.57
2024-02-19,A123,127.22
2024-02-19,AAA,50.19
2024-02-19,BBOZ,3.02
2024-02-19,BGBL,61.02
2024-02-19,ETHI,14.42
2024-02-19,GEAR,27.13
2024-02-19,GGOV,13.98
2024-02-19,CYBR,12.14
2024-02-19,NDQ,41.03
2024-02-20,A123,127.26
2024-02-20,AAA,50.20
2024-02-20,BBOZ,3.02
2024-02-20,BGBL,60.95
2024-02-20,ETHI,14.39
2024-02-20,GEAR,27.12
2024-02-20,GGOV,13.92
2024-02-20,CYBR,12.10
2024-02-20,NDQ,40.92
2024-02-21,A123,126.58
2024-02-21,AAA,50.20
2024-02-21,BBOZ,3.07
2024-02-21,BGBL,60.53
2024-02-21,ETHI,14.20
2024-02-21,GEAR,26.80
2024-02-21,GGOV,13.98
2024-02-21,CYBR,11.58
2024-02-21,NDQ,40.38
2024-02-22,A123,126.75
2024-02-22,AAA,50.21
2024-02-22,BBOZ,3.06
2024-02-22,BGBL,61.16
2024-02-22,ETHI,14.38
2024-02-22,GEAR,26.86
2024-02-22,GGOV,13.90
2024-02-22,CYBR,11.55
2024-02-22,NDQ,41.03
2024-02-23,A123,127.23
2024-02-23,AAA,50.22
2024-02-23,BBOZ,3.04
2024-02-23,BGBL,61.74
2024-02-23,ETHI,14.58
2024-02-23,GEAR,27.09
2024-02-23,GGOV,13.93
2024-02-23,CYBR,11.67
2024-02-23,NDQ,41.54
2024-02-26,A123,127.46
2024-02-26,AAA,50.24
2024-02-26,BBOZ,3.02
2024-02-26,BGBL,61.73
2024-02-26,ETHI,14.59
2024-02-26,GEAR,27.18
2024-02-26,GGOV,14.18
2024-02-26,CYBR,11.73
2024-02-26,NDQ,41.39
2024-02-27,A123,127.72
2024-02-27,AAA,50.24
2024-02-27,BBOZ,3.02
2024-02-27,BGBL,61.81
2024-02-27,ETHI,14.62
2024-02-27,GEAR,27.29
2024-02-27,GGOV,14.09
2024-02-27,CYBR,11.94
2024-02-27,NDQ,41.47
2024-02-28,A123,127.85
2024-02-28,AAA,50.24
2024-02-28,BBOZ,3.01
2024-02-28,BGBL,62.16
2024-02-28,ETHI,14.75
2024-02-28,GEAR,27.32
2024-02-28,GGOV,14.01
2024-02-28,CYBR,12.01
2024-02-28,NDQ,41.77
2024-02-29,A123,128.43
2024-02-29,AAA,50.25
2024-02-29,BBOZ,2.97
2024-02-29,BGBL,62.05
2024-02-29,ETHI,14.71
2024-02-29,GEAR,27.64
2024-02-29,GGOV,14.02
2024-02-29,CYBR,12.12
2024-02-29,NDQ,41.59
2024-03-01,A123,129.33
2024-03-01,AAA,50.09
2024-03-01,BBOZ,2.91
2024-03-01,BGBL,62.53
2024-03-01,ETHI,14.80
2024-03-01,GEAR,28.03
2024-03-01,GGOV,14.15
2024-03-01,CYBR,12.12
2024-03-01,NDQ,42.13
2024-03-04,A123,129.19
2024-03-04,AAA,50.10
2024-03-04,BBOZ,2.93
2024-03-04,BGBL,62.75
2024-03-04,ETHI,14.89
2024-03-04,GEAR,27.95
2024-03-04,GGOV,14.23
2024-03-04,CYBR,12.16
2024-03-04,NDQ,42.61
2024-03-05,A123,129.09
2024-03-05,AAA,50.11
